company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru
NESTLE;NESTLÉ MARIA;"intext:""MARIA"" AROUND(3) (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;NESTLE MILO;"intext:""NESTLE MILO""";No;No;No;No;No;No;Si;No
NESTLE;NESTLÉ MIO;"intext:""NESTLE MIO"" OR intext:""NESTLÉ MIO"" OR intext:""NESTLE MÍO"" OR intext:""NESTLÉ MÍO""";No;No;Si;No;No;No;No;No
NESTLE;NESTLE MUECAS;"intext:""MUECAS"" AROUND(3) (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;NESTLÉ NATURNES;"intext:""NESTLÉ NATURNES""";No;No;Si;No;No;No;No;No
NESTLE;NESTLÉ PROFESSIONAL;"intext:""NESTLÉ PROFESSIONAL"" OR intext:""NESTLE PROFESSIONAL""";No;No;Si;No;No;No;No;No
NESTLE;NESTLÉ PUREZA VITAL;"intext:""PUREZA VITAL"" OR intext:""PUREZAVITAL"" OR intext:""PUREZA-VITAL""";Si;No;Si;No;No;No;No;Si
NESTLE;NESTOGENO;"intext:""NESTOGENO"" AND (intext:""formula"" OR intext:""formulas"" OR intext:""fórmula"" OR intext:""fórmulas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;NESTON;"intext:""NESTON"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;NESTONUTRI;"intext:""NESTONUTRI""";No;No;Si;No;No;No;No;No
NESTLE;NESTUM;"intext:""NESTUM""";Si;Si;No;Si;Si;Si;No;Si
NESTLE;NHSC-CASEC;"intext:""CASEC"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;NHSC-PEPTAMEN-JR;"intext:""PEPTAMEN JUNIOR"" OR intext:""PEPTAMENJUNIOR"" OR intext:""PEPTAMEN-JUNIOR""";No;No;No;No;No;No;No;Si
NESTLE;NIDO CRECIMIENTO;"intext:""NIDO"" AND intext:""CRECIMIENTO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No
NESTLE;NIDO LOGO;"intext:""NIDO LOGO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;NINHO;"intext:""NINHO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;NUTREN;"intext:""NUTREN"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;OPTIFIBRE;"intext:""OPTIFIBRE"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;PASSATEMPO;"intext:""PASSATEMPO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;PELLEGRINO;"(intext:""SAN PELLEGRINO"" OR intext:""SANPELLEGRINO"" OR intext:""SAN-PELLEGRINO"" OR intext:""S.PELLEGRINO"" OR intext:""S. PELLEGRINO"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""agua con gas"" OR intext:""agua mineral"")";No;No;Si;No;No;Si;No;No
NESTLE;PERRIER;"intext:""PERRIER"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""agua con gas"" OR intext:""agua mineral"")";No;No;Si;No;No;No;No;No
NESTLE;PEZIDURI;"intext:""PEZIDURI""";No;No;No;No;No;No;No;Si
NESTLE;PRESTÍGIO;"(intext:""PRESTÍGIO"" OR intext:""PRESTIGIO"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;Si;No
NESTLE;PRINCESA;"intext:""PRINCESA"" AROUND(3) (intext:""chocolate"" OR intext:""chocolates"" OR intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;PRO PLAN;"(intext:""PRO PLAN"" OR intext:""PROPLAN"" OR intext:""PRO-PLAN"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;Si;No
NESTLE;PROPLAN;"intext:""PROPLAN"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;PUREZAVITAL;"intext:""PUREZAVITAL"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;PURINA;"intext:""PURINA""";Si;No;Si;Si;Si;Si;No;Si
NESTLE;RESERVAMEXICANA;"intext:""RESERVAMEXICANA"" OR intext:""RESERVA MEXICANA"" OR intext:""RESERVA-MEXICANA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""NESCAFE"" OR intext:""NESCAFÉ"")";No;No;No;No;No;No;No;Si
NESTLE;SAHNE-NUSS;"(intext:""SAHNE-NUSS"" OR intext:""SAHNENUSS"" OR intext:""SAHNE NUSS"") AND (intext:""chocolate"" OR intext:""chocolates"")";No;No;No;No;Si;No;No;No
NESTLE;SAN PELLEGRINO;"intext:""SAN PELLEGRINO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;SÃO LUIZ;"(intext:""SÃO LUIZ"" OR intext:""SÃOLUIZ"" OR intext:""SÃO-LUIZ"" OR intext:""SAO LUIZ"" OR intext:""SAOLUIZ"" OR intext:""SAO-LUIZ"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;SAVORY;"intext:""SAVORY"" AND (intext:""helado"" OR intext:""helados"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;Si;Si;Si;No
NESTLE;SMARTIES;"intext:""SMARTIES"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;No;No;No;No
NESTLE;SNOW FLAKES;"intext:""SNOW FLAKES"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;SORRENTO;"intext:""SORRENTO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
