company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru;;
CENCOSUD;URB;"intext:""URB"" AROUND(5) (intext:""CENCOSUD"" OR intext:""Jumbo"" OR intext:""VEA"" OR intext:""DISCO"" OR intext:""METRO"" OR intext:""WONG"")";Si;No;No;No;Si;No;No;Si;;
CENCOSUD;METRO;"intext:""CENCOSUD"" AND intext:""METRO""";No;No;No;No;Si;No;No;Si;;
CENCOSUD;WONG;"intext:""CENCOSUD"" AND intext:""WONG""";No;No;No;No;No;No;No;Si;;
CHRYSLER;CHRYSLER;"intext:""CHRYSLER""";No;No;No;No;No;No;Si;No;;
CHRYSLER;JEEP;"intext:""JEEP"" AND intext:""CHRYSLER""";No;No;No;No;No;No;Si;No;;
CHRYSLER;DODGE;"intext:""DODGE"" AND intext:""CHRYSLER""";No;No;No;No;No;No;Si;No;;
CHRYSLER;RAM TRUCKS;"intext:""RAM TRUCKS""";No;No;No;No;No;No;Si;No;;
CHRYSLER;SRT;"intext:""SRT""";No;No;No;No;No;No;Si;No;;
CHRYSLER;MASERATI;"intext:""MASERATI""";No;No;No;No;No;No;Si;No;;
CHRYSLER;FIAT;"intext:""FIAT"" AND intext:""CHRYSLER""";No;No;No;No;No;No;Si;No;;
CHRYSLER;ABARTH;"intext:""ABARTH""";No;No;No;No;No;No;Si;No;;
CHRYSLER;LANCIA;"intext:""LANCIA""";No;No;No;No;No;No;Si;No;;
CHRYSLER;ALFA ROMEO;"intext:""ALFA ROMEO""";No;No;No;No;No;No;Si;No;;
CISCO;CISCO;"intext:""CISCO"" -""carbón vegetal""";No;No;No;No;No;No;Si;No;;
CITIBANK;CITIBANK;"intext:""CITIBANK""";Si;No;Si;No;Si;Si;Si;Si;;
CITIBANK;CITI;"intext:""CITI""";Si;No;Si;No;Si;Si;Si;Si;;
CITIBANK;BANAMEX;"intext:""BANAMEX""";No;No;No;No;No;No;Si;No;;
CITIBANK;CITIBANAMEX;"intext:""CITIBANAMEX""";No;No;No;No;No;No;Si;No;;
CLOROX;CLOROX;"intext:""CLOROX""";No;No;No;Si;No;No;No;Si;;
CMPC;CMPC;"intext:""CMPC"" -""WACC"" -""COSTE MEDIO PONDERADO""";No;No;No;No;No;No;No;Si;;
COCA COLA;COCA COLA;"intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA""";Si;Si;Si;Si;Si;Si;Si;Si;;
COCA COLA;SCHWEPPES;"intext:""SCHWEPPES""";Si;No;Si;Si;No;No;No;Si;;
COCA COLA;POWERADE;"intext:""POWERADE"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";Si;Si;No;Si;Si;Si;Si;Si;;
COCA COLA;SPRITE;"intext:""SPRITE"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";Si;Si;Si;Si;Si;Si;Si;Si;;
COCA COLA;AQUARIUS;"intext:""AQUARIUS""";Si;Si;No;Si;No;No;No;Si;;
COCA COLA;CRUSH;"intext:""CRUSH"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";Si;No;No;Si;No;No;No;No;;
COCA COLA;BONAQUA;"intext:""BONAQUA"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";Si;No;No;Si;No;No;No;No;;
COCA COLA;FANTA;"intext:""FANTA""";Si;Si;Si;Si;Si;Si;Si;Si;;
COCA COLA;CEPITA;"intext:""CEPITA""";Si;No;No;Si;No;No;No;No;;
COCA COLA;HI-C;"intext:""HI-C"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"" OR intext:""fruit juice"" OR intext:""zumo"")";Si;No;No;Si;No;No;No;No;;
COCA COLA;KIN;"intext:""KIN"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";Si;No;No;Si;No;No;No;No;;
COCA COLA;ADES;"intext:""ADES"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"" OR intext:""jugo"")";Si;Si;Si;Si;No;No;No;No;;
COCA COLA;VITAL;"intext:""VITAL"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;Si;No;Si;No;No;No;No;;
COCA COLA;DEL VALLE;"intext:""DEL VALLE"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;Si;No;No;Si;No;No;No;;
COCA COLA;SIMBA;"intext:""SIMBA"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;Si;No;No;No;No;No;No;;
COCA COLA;MINERAGUA;"intext:""MINERAGUA"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;Si;No;No;No;No;No;No;;
COCA COLA;CRYSTAL;"intext:""CRYSTAL"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;Si;No;No;No;No;No;;
